,N. Trajectories,Train/External Traj Split,Trainer Oracle Timesteps,FP Rate,Accuracy,Precision,Recall,Eta
0,250,0.5,1000000,0.05,0.58,0.8333333333333334,0.2,1.8662277359642405
1,250,0.5,1000000,0.1,0.56,0.6363636363636364,0.28,3.2909167782113466
2,250,0.5,1000000,0.15,0.82,0.9444444444444444,0.68,2.4772294234223655
3,250,0.5,1000000,0.2,0.6,0.6666666666666666,0.4,1.4718811519992219
4,250,0.5,1000000,0.25,0.7,0.6785714285714286,0.76,2.136749632016082
5,250,0.5,10000000,0.05,0.62,0.875,0.28,3.15722942905709
6,250,0.5,10000000,0.1,0.54,0.6,0.24,2.0317241674728046
7,250,0.5,10000000,0.15,0.52,0.5333333333333333,0.32,1.9827294302774594
8,250,0.5,10000000,0.2,0.6,0.6,0.6,2.024261757594945
9,250,0.5,10000000,0.25,0.86,0.875,0.84,2.501362771564893
10,500,0.5,1000000,0.05,0.59,0.7368421052631579,0.28,1.5885680466987844
11,500,0.5,1000000,0.1,0.73,0.8709677419354839,0.54,2.6982800472113935
12,500,0.5,1000000,0.15,0.68,0.78125,0.5,1.8558455335070412
13,500,0.5,1000000,0.2,0.71,0.8181818181818182,0.54,2.079457715352515
14,500,0.5,1000000,0.25,0.84,0.7575757575757576,1.0,2.349394779931382
15,500,0.5,10000000,0.05,0.58,1.0,0.16,2.331385134510561
16,500,0.5,10000000,0.1,0.61,0.7619047619047619,0.32,1.6952808523850103
17,500,0.5,10000000,0.15,0.67,0.8148148148148148,0.44,1.5436045270481946
18,500,0.5,10000000,0.2,0.65,0.6923076923076923,0.54,1.8783974012013565
19,500,0.5,10000000,0.25,0.61,0.6896551724137931,0.4,1.2091915033675142
