,N. Trajectories,Train/External Traj Split,Trainer Oracle Timesteps,FP Rate,Accuracy,Precision,Recall,Eta
0,500,0.5,250000,0.05,0.88,0.975,0.78,2.735416092215235e+52
1,500,0.5,250000,0.1,0.95,0.9411764705882353,0.96,0.0872408143655161
2,500,0.5,250000,0.15,0.83,0.8235294117647058,0.84,0.5446346568911149
3,500,0.5,250000,0.2,0.94,0.8928571428571429,1.0,0.20186958736698843
4,500,0.5,250000,0.25,0.87,0.7936507936507936,1.0,0.13526898081957411
5,1000,0.5,250000,0.05,0.985,0.970873786407767,1.0,0.7151056246059305
6,1000,0.5,250000,0.1,0.91,0.847457627118644,1.0,0.07087516338743435
7,1000,0.5,250000,0.15,0.905,0.8403361344537815,1.0,0.018956582291069647
8,1000,0.5,250000,0.2,0.92,0.8620689655172413,1.0,0.005703051001385513
9,1000,0.5,250000,0.25,0.855,0.7751937984496124,1.0,0.002513688122962814
