,N. Trajectories,Train/External Traj Split,Trainer Oracle Timesteps,FP Rate,Accuracy,Precision,Recall,Eta
0,125,0.5,7000000,0.25,0.6451612903225806,0.6551724137931034,0.6129032258064516,5.399206838454349
1,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.368049913282325
2,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.369753024660767
3,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.231512159426329
4,125,0.5,7000000,0.25,0.6451612903225806,0.6551724137931034,0.6129032258064516,5.1831457715105405
5,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.386455695582743
6,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.32485562915458
7,125,0.5,7000000,0.25,0.6290322580645161,0.6428571428571429,0.5806451612903226,5.364247701770983
8,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.346976197738616
9,125,0.5,7000000,0.25,0.5967741935483871,0.6363636363636364,0.45161290322580644,5.327597066749794
10,125,0.5,7000000,0.25,0.6451612903225806,0.6551724137931034,0.6129032258064516,5.232863586678533
11,125,0.5,7000000,0.25,0.5967741935483871,0.6363636363636364,0.45161290322580644,5.311084455281484
12,125,0.5,7000000,0.25,0.6451612903225806,0.6551724137931034,0.6129032258064516,5.385568244623494
13,125,0.5,7000000,0.25,0.6129032258064516,0.6296296296296297,0.5483870967741935,5.357648878065447
14,125,0.5,7000000,0.25,0.6129032258064516,0.6296296296296297,0.5483870967741935,5.357503793743941
15,125,0.5,7000000,0.25,0.6451612903225806,0.6551724137931034,0.6129032258064516,5.236987966108675
16,125,0.5,7000000,0.25,0.5806451612903226,0.6190476190476191,0.41935483870967744,5.126368086976587
17,125,0.5,7000000,0.25,0.6290322580645161,0.6428571428571429,0.5806451612903226,5.269940133940981
18,125,0.5,7000000,0.25,0.5967741935483871,0.6363636363636364,0.45161290322580644,5.265663626219215
19,125,0.5,7000000,0.25,0.6290322580645161,0.6428571428571429,0.5806451612903226,5.361010501041008
